player_id,position,Rk,Gcar,Gtm,Tm,home_away,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,game_date,days_between_games
abadfe01,Pitcher,1,316,8,BOS,NA,BAL,"L,5-12",6-7,NA,99.0,1.0,2,1,1,0,0,0,0,9.0,4,17,10,4,0,3.0,1,1,0,0,NA,0,0,0,0,0,4,0,0,0,1,0,0,0.29,0.009,0.15,-0.95,0.0,6t --- 0 out d4,7t 1-- 0 out d4,2017-04-12,0.0
abadfe01,Pitcher,2,317,10,BOS,NA,TBR,"L,5-10",8-8,NA,1.0,1.0,1,0,0,1,0,0,0,4.5,5,22,12,2,3,4.0,0,0,0,0,NA,0,0,0,0,0,4,1,0,0,0,0,0,0.01,0.001,0.55,1.05,3.0,8t --- 0 out d8,8t 3 out d8,2017-04-14,2.0
abadfe01,Pitcher,3,318,14,BOS,@,TOR,"W,8-7",8-8,NA,3.0,0.2,1,0,0,0,0,0,0,3.38,3,12,7,4,0,2.0,1,0,0,0,NA,0,0,0,0,0,3,1,0,0,0,0,0,0.6,0.015,0.15,0.9,2.0,8b --- 0 out a4,8b --3 2 out a4,2017-04-18,4.0
abadfe01,Pitcher,4,319,17,BOS,@,BAL,"L,0-2",8-GF(8),NA,2.0,0.2,0,0,0,0,0,0,0,2.7,2,4,2,0,0,0.0,2,1,0,0,NA,1,0,0,0,0,2,0,0,0,0,0,0,0.29,0.016,0.55,1.5,2.0,8b 1-- 1 out d2,8b end d 2,2017-04-21,3.0
abadfe01,Pitcher,5,320,19,BOS,@,BAL,"W,6-2",9-9,NA,1.0,0.2,3,1,1,0,0,0,0,4.5,5,17,11,2,0,3.0,2,1,0,0,NA,0,0,0,0,0,5,1,0,0,0,0,0,0.25,-0.007,-0.92,-2.3,-1.0,9b --- 0 out a5,9b 12- 2 out a4,2017-04-23,2.0
abadfe01,Pitcher,6,321,22,BOS,NA,CHC,"W,5-4",8-8,H(1),4.0,0.2,0,0,0,0,2,0,0,3.86,2,12,7,0,3,0.0,0,0,0,0,NA,2,0,0,0,0,2,0,0,0,0,0,0,4.3,0.214,0.96,5.5,8.0,8t 12- 1 out a1,8t 3 out a1,2017-04-28,5.0
adlemti01,Pitcher,1,14,13,CIN,NA,MIL,"L,2-4",4-7,NA,99.0,4.0,2,1,1,0,5,1,0,2.25,14,57,39,10,8,2.0,7,2,0,0,NA,0,0,0,0,0,14,0,0,0,0,0,0,0.62,0.047,1.0,15.8,24.0,4t --- 0 out d3,7t 3 out d2,2017-04-16,0.0
adlemti01,Pitcher,2,15,17,CIN,NA,CHC,"L,5-6",GS-6,NA,4.0,6.0,4,2,2,2,7,2,1,2.7,24,92,58,15,13,5.0,9,2,2,0,61,NA,NA,0,0,0,21,1,0,0,0,0,0,1.15,0.099,1.0,19.3,33.0,1t start tie,6t 3 out a2,2017-04-21,5.0
adlemti01,Pitcher,3,16,23,CIN,@,STL,"L,5-7",GS-6,L(0-1),6.0,5.1,8,6,5,1,3,2,0,4.7,24,86,55,13,7,10.0,10,5,1,0,32,NA,NA,0,1,0,23,1,0,0,1,0,1,0.68,-0.214,-1.96,2.6,10.0,1b start tie,6b 12- 1 out d3,2017-04-28,7.0
alberma01,Pitcher,1,453,7,WSN,NA,STL,"W,14-6",6-7,H(1),99.0,2.0,1,0,0,0,2,0,0,0.0,7,25,19,4,3,2.0,3,3,0,0,NA,0,0,0,0,0,7,0,0,0,0,0,1,1.22,0.15,1.0,7.9,12.0,6t --- 0 out a1,7t 3 out a2,2017-04-10,0.0
alberma01,Pitcher,2,454,11,WSN,NA,PHI,"L,2-4",9-GF,NA,4.0,1.0,1,0,0,0,0,0,0,0.0,3,15,10,2,0,2.0,1,0,0,0,NA,0,0,0,0,0,3,0,0,0,1,0,0,0.3,0.017,0.5,1.65,3.0,9t --- 0 out d2,9t end d 2,2017-04-15,5.0
alberma01,Pitcher,3,455,14,WSN,@,ATL,"W,14-4",9-GF,NA,3.0,1.0,1,0,0,0,0,0,0,0.0,3,7,6,2,0,1.0,2,1,0,0,NA,0,0,0,0,0,3,0,0,0,1,0,0,NA,NA,NA,1.65,3.0,9b --- 0 out a10,9b end a10,2017-04-19,4.0
alberma01,Pitcher,4,456,19,WSN,@,COL,"L,4-8",8-GF(8),NA,4.0,1.0,0,0,0,0,1,0,0,0.0,3,10,7,1,2,2.0,0,0,0,0,NA,3,1,0,0,0,3,0,0,0,0,0,0,0.25,0.006,1.42,4.25,6.0,8b 123 0 out d3,8b end d 4,2017-04-24,5.0
alberma01,Pitcher,5,457,20,WSN,@,COL,"W,15-12",8-8,NA,0.0,1.0,0,0,0,0,0,0,1,0.0,4,8,5,0,1,1.0,2,1,0,0,NA,0,0,0,0,0,3,0,0,0,0,0,0,0.82,0.035,0.57,1.65,3.0,8b --- 0 out a4,8b 3 out a4,2017-04-25,1.0
alberma01,Pitcher,6,458,22,WSN,@,COL,"W,16-5",7-8,NA,1.0,1.1,0,0,0,0,0,0,0,0.0,4,15,9,3,0,4.0,0,0,0,0,NA,1,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.83,3.0,4.0,7b 1-- 2 out a13,8b 3 out a13,2017-04-27,2.0
alcanra01,Pitcher,1,6,5,OAK,@,TEX,"L,5-10",GS-2,L(0-1),99.0,2.0,4,8,8,2,1,2,1,36.0,14,58,30,8,5,3.0,7,2,0,0,15,NA,NA,0,0,0,11,1,0,0,0,0,0,0.74,-0.379,-6.91,-13.7,-15.0,1b start tie,2b 3 out d8,2017-04-07,0.0
alcanra01,Pitcher,2,7,11,OAK,NA,HOU,"L,2-7",8-GF,NA,6.0,2.0,0,2,0,1,1,0,1,18.0,9,34,18,4,3,3.0,3,0,0,0,NA,0,0,0,0,0,6,0,0,0,0,1,1,0.05,-0.004,-1.06,5.3,9.0,8t --- 0 out d4,9t end d 6,2017-04-14,7.0
alcanra01,Pitcher,3,8,19,OAK,NA,SEA,"L,1-11",7-GF,NA,8.0,3.0,6,5,5,2,0,1,0,16.71,16,70,41,5,5,4.0,10,6,2,0,NA,0,0,0,0,0,14,3,0,0,0,0,0,0.02,-0.012,-3.58,-8.05,-6.0,7t --- 0 out d6,9t end d10,2017-04-23,9.0
alexasc02,Pitcher,1,22,8,KCR,NA,OAK,"L,3-8",6-8,NA,99.0,2.1,0,0,0,0,0,0,0,0.0,7,18,12,3,1,4.0,3,0,1,0,NA,2,0,0,0,0,7,0,0,0,0,0,0,0.02,0.004,1.68,5.25,7.0,6t -23 2 out d8,8t 3 out d8,2017-04-12,0.0
alexasc02,Pitcher,2,23,13,KCR,NA,SFG,"L,1-2",10-GF(11),L(0-1),5.0,2.0,3,1,1,1,3,0,0,2.08,10,33,23,7,4,3.0,3,2,0,0,NA,0,0,1,0,0,9,1,0,0,0,0,0,2.12,-0.148,0.06,6.1,12.0,10t --- 0 out tie,11t end d 1,2017-04-18,6.0
alexasc02,Pitcher,3,24,16,KCR,@,TEX,"L,2-6",6-6,NA,2.0,1.0,0,0,0,1,2,0,0,1.69,4,17,11,3,3,1.0,0,0,0,0,NA,0,0,0,0,0,3,0,0,0,0,0,0,0.13,0.006,0.54,5.65,9.0,6b --- 0 out d5,6b 3 out d5,2017-04-21,3.0
alexasc02,Pitcher,4,25,18,KCR,@,TEX,"L,2-5",4-6,NA,1.0,2.1,1,1,1,0,0,1,0,2.35,7,24,17,3,1,6.0,1,0,0,0,NA,3,1,0,0,0,7,0,0,0,1,0,0,1.04,0.071,1.19,2.65,4.0,4b 123 0 out tie,6b --- 1 out d2,2017-04-23,2.0
alexasc02,Pitcher,5,26,20,KCR,@,CHW,"L,5-10",5-6,NA,1.0,1.1,1,0,0,0,0,0,0,2.0,4,15,9,2,1,4.0,0,0,0,0,NA,1,0,0,0,0,4,0,0,0,1,0,0,0.2,0.019,0.83,2.4,4.0,5b --3 2 out d4,6b 3 out d4,2017-04-25,2.0
alexasc02,Pitcher,6,27,22,KCR,NA,MIN,"L,4-6",8-GF,NA,2.0,1.1,1,0,0,0,1,0,0,1.74,5,14,11,1,2,4.0,0,0,0,0,NA,1,0,0,0,0,5,0,0,0,0,0,0,0.44,0.044,0.9,4.4,7.0,8t --3 2 out d2,9t end d 2,2017-04-28,3.0
allenco01,Pitcher,1,318,1,CLE,@,TEX,"W,8-5",9-GF,S(1),99.0,1.0,1,0,0,0,3,0,0,0.0,4,19,13,2,6,0.0,1,1,0,0,NA,0,0,0,0,0,4,0,1,0,0,0,0,0.89,0.046,0.54,7.65,12.0,9b --- 0 out a3,9b end a 3,2017-04-03,0.0
allenco01,Pitcher,2,319,2,CLE,@,TEX,"W,4-3",9-GF,S(2),0.0,1.0,2,1,1,0,3,0,0,4.5,5,25,18,4,7,1.0,1,0,0,0,NA,0,0,0,0,0,5,2,0,0,0,0,0,3.93,0.1,-0.46,5.05,9.0,9b --- 0 out a2,9b end a 1,2017-04-04,1.0
